dataset,fold,p,k,feature_ratio,feature_pct,baseline_auc,baseline_accuracy,etree_auc,etree_accuracy,stg_auc,stg_accuracy,lspin_auc,lspin_accuracy,etree_auc_delta,stg_auc_delta,lspin_auc_delta,etree_accuracy_delta,stg_accuracy_delta,lspin_accuracy_delta
colon,1,2000,600,0.3,30.0,0.95,0.8461538461538461,0.95,0.7692307692307693,0.975,0.9230769230769231,0.975,0.9230769230769231,0.0,0.025000000000000022,0.025000000000000022,-0.07692307692307687,0.07692307692307698,0.07692307692307698
colon,2,2000,600,0.3,30.0,0.975,0.8461538461538461,0.925,0.8461538461538461,0.975,0.8461538461538461,0.975,0.8461538461538461,-0.04999999999999993,0.0,0.0,0.0,0.0,0.0
colon,3,2000,600,0.3,30.0,0.8125,0.6666666666666666,0.8125,0.75,0.78125,0.5833333333333334,0.75,0.6666666666666666,0.0,-0.03125,-0.0625,0.08333333333333337,-0.08333333333333326,0.0
colon,4,2000,600,0.3,30.0,0.9375,0.8333333333333334,0.875,0.8333333333333334,0.9375,0.8333333333333334,0.875,0.8333333333333334,-0.0625,0.0,-0.0625,0.0,0.0,0.0
colon,5,2000,600,0.3,30.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.9166666666666666,0.96875,0.9166666666666666,0.0,0.0,-0.03125,0.0,0.08333333333333326,0.08333333333333326
colon,1,2000,400,0.2,20.0,0.95,0.8461538461538461,0.925,0.7692307692307693,0.975,0.9230769230769231,0.975,0.9230769230769231,-0.02499999999999991,0.025000000000000022,0.025000000000000022,-0.07692307692307687,0.07692307692307698,0.07692307692307698
colon,2,2000,400,0.2,20.0,0.975,0.8461538461538461,0.925,0.8461538461538461,0.975,0.8461538461538461,0.95,0.9230769230769231,-0.04999999999999993,0.0,-0.025000000000000022,0.0,0.0,0.07692307692307698
colon,3,2000,400,0.2,20.0,0.8125,0.6666666666666666,0.8125,0.75,0.8125,0.6666666666666666,0.84375,0.6666666666666666,0.0,0.0,0.03125,0.08333333333333337,0.0,0.0
colon,4,2000,400,0.2,20.0,0.9375,0.8333333333333334,0.875,0.8333333333333334,0.8125,0.8333333333333334,0.90625,0.8333333333333334,-0.0625,-0.125,-0.03125,0.0,0.0,0.0
colon,5,2000,400,0.2,20.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.90625,0.8333333333333334,0.96875,0.9166666666666666,0.0,-0.09375,-0.03125,0.08333333333333326,0.0,0.08333333333333326
colon,1,2000,200,0.1,10.0,0.95,0.8461538461538461,0.95,0.7692307692307693,0.95,0.9230769230769231,0.975,0.8461538461538461,0.0,0.0,0.025000000000000022,-0.07692307692307687,0.07692307692307698,0.0
colon,2,2000,200,0.1,10.0,0.975,0.8461538461538461,0.925,0.8461538461538461,0.95,0.8461538461538461,0.95,0.8461538461538461,-0.04999999999999993,-0.025000000000000022,-0.025000000000000022,0.0,0.0,0.0
colon,3,2000,200,0.1,10.0,0.8125,0.6666666666666666,0.8125,0.75,0.78125,0.75,0.8125,0.6666666666666666,0.0,-0.03125,0.0,0.08333333333333337,0.08333333333333337,0.0
colon,4,2000,200,0.1,10.0,0.9375,0.8333333333333334,0.875,0.8333333333333334,0.90625,0.8333333333333334,0.8125,0.8333333333333334,-0.0625,-0.03125,-0.125,0.0,0.0,0.0
colon,5,2000,200,0.1,10.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.90625,0.8333333333333334,1.0,1.0,0.0,-0.09375,0.0,0.08333333333333326,0.0,0.16666666666666663
