dataset,fold,p,k,baseline_auc,baseline_accuracy,stg_auc,stg_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,stg_accuracy_delta,lspin_auc_delta,lspin_accuracy_delta
slashdot,1,1120,1008,0.5358090185676393,0.9960369881109643,0.5583554376657824,0.9960369881109643,0.5760389036251105,0.9960369881109643,0.022546419098143144,0.0,0.04022988505747116,0.0
slashdot,2,1120,1008,0.5324933687002652,0.9960369881109643,0.5351458885941645,0.9960369881109643,0.7159593280282934,0.9960369881109643,0.0026525198938992522,0.0,0.18346595932802823,0.0
slashdot,3,1120,1008,0.4030544488711819,0.996031746031746,0.4163346613545817,0.996031746031746,0.41035856573705176,0.996031746031746,0.013280212483399778,0.0,0.007304116865869847,0.0
slashdot,4,1120,1008,0.5566622399291722,0.996031746031746,0.5725984949092519,0.996031746031746,0.5416113324479858,0.996031746031746,0.015936254980079667,0.0,-0.015050907481186426,0.0
slashdot,5,1120,1008,0.3751660026560425,0.996031746031746,0.5212483399734394,0.996031746031746,0.38313413014608233,0.996031746031746,0.14608233731739695,0.0,0.007968127490039834,0.0
hepatitis,1,42,37,0.9266666666666666,0.8709677419354839,0.8866666666666666,0.8387096774193549,0.8866666666666666,0.8387096774193549,-0.040000000000000036,-0.032258064516129004,-0.040000000000000036,-0.032258064516129004
hepatitis,2,42,37,0.9466666666666667,0.8387096774193549,0.9199999999999999,0.8387096774193549,0.9199999999999999,0.8387096774193549,-0.026666666666666727,0.0,-0.026666666666666727,0.0
hepatitis,3,42,37,0.8200000000000001,0.8387096774193549,0.7266666666666667,0.7741935483870968,0.7266666666666667,0.7741935483870968,-0.09333333333333338,-0.06451612903225812,-0.09333333333333338,-0.06451612903225812
hepatitis,4,42,37,0.8452380952380952,0.8064516129032258,0.9226190476190476,0.8064516129032258,0.9226190476190476,0.8064516129032258,0.07738095238095233,0.0,0.07738095238095233,0.0
hepatitis,5,42,37,0.7500000000000001,0.7741935483870968,0.6755952380952381,0.7741935483870968,0.6755952380952381,0.7741935483870968,-0.07440476190476197,0.0,-0.07440476190476197,0.0
Musk2,1,168,151,1.0,0.9962121212121212,0.9999999999999999,0.996969696969697,1.0,0.996969696969697,-1.1102230246251565e-16,0.0007575757575757347,0.0,0.0007575757575757347
Musk2,2,168,151,0.9999824302480849,0.9962121212121212,0.9999956075620212,0.996969696969697,1.0,0.9962121212121212,1.3177313936352242e-05,0.0007575757575757347,1.7569751915136322e-05,0.0
Musk2,3,168,151,1.0,0.9992424242424243,1.0,0.9992424242424243,1.0,0.9992424242424243,0.0,0.0,0.0,0.0
Musk2,4,168,151,1.0,0.9984836997725549,0.9999999999999999,0.9992418498862775,1.0,0.9992418498862775,-1.1102230246251565e-16,0.0007581501137225999,0.0,0.0007581501137225999
Musk2,5,168,151,1.0,0.9946929492039424,1.0,0.9954510993176648,1.0,0.9954510993176648,0.0,0.0007581501137224889,0.0,0.0007581501137224889
RELATHE,1,4322,3889,0.9640285996055228,0.8951048951048951,0.9594181459566075,0.9055944055944056,0.960034516765286,0.9020979020979021,-0.004610453648915325,0.010489510489510523,-0.0039940828402368345,0.006993006993006978
RELATHE,2,4322,3889,0.9716962524654832,0.9230769230769231,0.9712031558185404,0.9195804195804196,0.968318540433925,0.9090909090909091,-0.0004930966469427478,-0.0034965034965035446,-0.003377712031558233,-0.013986013986014068
RELATHE,3,4322,3889,0.9369161200556549,0.8947368421052632,0.9348539057841383,0.9017543859649123,0.9352514410653946,0.9017543859649123,-0.002062214271516649,0.007017543859649145,-0.0016646789902603487,0.007017543859649145
RELATHE,4,4322,3889,0.9799741602067182,0.9263157894736842,0.9814649175114291,0.9263157894736842,0.976570264360962,0.9368421052631579,0.0014907573047108214,0.0,-0.0034038958457562885,0.010526315789473717
RELATHE,5,4322,3889,0.9544665012406949,0.9087719298245615,0.9570223325062035,0.9052631578947369,0.9574937965260546,0.9122807017543859,0.0025558312655086235,-0.0035087719298245723,0.0030272952853597213,0.0035087719298244613
