dataset,p,k,feature_ratio,feature_pct,baseline_auc_mean,etree_auc_mean,stg_auc_mean,lspin_auc_mean,etree_auc_delta_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_accuracy_mean,etree_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,etree_accuracy_delta_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
madelon,500,250,0.5,50.0,0.7671642011834319,0.8158328402366865,0.8038402366863904,0.7599334319526626,0.04866863905325447,0.036676035502958525,-0.007230769230769219,0.6992307692307692,0.7326923076923076,0.7242307692307692,0.6807692307692308,0.03346153846153847,0.025000000000000022,-0.01846153846153844
madelon,500,200,0.4,40.0,0.7671642011834319,0.8434615384615384,0.8103594674556213,0.745439349112426,0.07629733727810653,0.04319526627218941,-0.021724852071005895,0.6992307692307692,0.7615384615384615,0.7307692307692307,0.6711538461538462,0.06230769230769233,0.03153846153846156,-0.028076923076923044
madelon,500,150,0.3,30.0,0.7671642011834319,0.8667928994082841,0.8326405325443786,0.7388372781065089,0.09962869822485214,0.0654763313609468,-0.028326923076923083,0.6992307692307692,0.7807692307692308,0.7457692307692307,0.6753846153846154,0.08153846153846156,0.04653846153846155,-0.02384615384615383
madelon,500,100,0.2,20.0,0.7671642011834319,0.9021346153846153,0.8548387573964498,0.7341789940828403,0.13497041420118344,0.08767455621301781,-0.03298520710059174,0.6992307692307692,0.8188461538461539,0.765,0.6696153846153846,0.11961538461538461,0.0657692307692308,-0.0296153846153846
madelon,500,50,0.1,10.0,0.7671642011834319,0.9375650887573966,0.8881745562130179,0.6792396449704142,0.1704008875739646,0.12101035502958583,-0.08792455621301776,0.6992307692307692,0.8673076923076923,0.8088461538461539,0.6361538461538461,0.1680769230769231,0.10961538461538463,-0.06307692307692307
madelon,500,25,0.05,5.0,0.7671642011834319,0.9594556213017752,0.9090118343195266,0.6251005917159763,0.19229142011834327,0.14184763313609472,-0.1420636094674556,0.6992307692307692,0.8961538461538462,0.8326923076923076,0.5907692307692308,0.19692307692307692,0.13346153846153846,-0.10846153846153843
SMK-CAN-187,19993,19993,1.0,100.0,0.7476315789473684,0.7476315789473684,0.7476315789473684,0.7476315789473684,0.0,0.0,0.0,0.6837837837837837,0.6837837837837837,0.6837837837837837,0.6837837837837837,0.0,0.0,0.0
SMK-CAN-187,19993,17994,0.9,90.0,0.7476315789473684,0.7551169590643274,0.754312865497076,0.7470614035087719,0.007485380116959051,0.006681286549707588,-0.0005701754385964986,0.6837837837837837,0.6943100995732575,0.6890469416785205,0.6783783783783783,0.010526315789473672,0.005263157894736836,-0.005405405405405417
SMK-CAN-187,19993,15994,0.8,80.0,0.7476315789473684,0.7513742690058479,0.755438596491228,0.7545175438596491,0.003742690058479492,0.007807017543859618,0.006885964912280685,0.6837837837837837,0.6943100995732575,0.7105263157894737,0.6837837837837838,0.010526315789473672,0.0267425320056899,0.0
SMK-CAN-187,19993,13995,0.7,70.0,0.7476315789473684,0.7554970760233918,0.7478508771929825,0.7615643274853802,0.007865497076023353,0.0002192982456139969,0.013932748538011719,0.6837837837837837,0.6941678520625889,0.7052631578947368,0.6785206258890468,0.010384068278805114,0.02147937411095304,-0.0052631578947368585
