dataset,fold,p,k,feature_ratio,feature_pct,baseline_train_auc,baseline_train_accuracy,baseline_auc,baseline_accuracy,stg_train_auc,stg_train_accuracy,stg_auc,stg_accuracy,lspin_train_auc,lspin_train_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,lspin_auc_delta,stg_accuracy_delta,lspin_accuracy_delta
madelon,4,500,350,0.7,70,1,1,0.788017751,0.7288461538461538,1,1,0.797758876,0.7307692307692307,1,1,0.8092529585798817,0.7192307692307692,0.009741124,0.021235207,0.001923077,-0.009615385
madelon,5,500,350,0.7,70,1,1,0.7575221893491124,0.6942307692307692,1,1,0.7890532544378697,0.7,1,1,0.7577366863905326,0.6788461538461539,0.031531065,0.000214497,0.005769231,-0.015384615
madelon,1,500,300,0.6,60,1,1,0.7570118343195266,0.6884615384615385,1,1,0.7848076923076923,0.7038461538461539,1,1,0.7442307692307693,0.6807692307692308,0.027795858,-0.012781065,0.015384615384615441,-0.007692308
madelon,2,500,300,0.6,60,1,1,0.7416124260355029,0.6673076923076923,1,1,0.746775148,0.6634615384615384,1,1,0.7445857988165681,0.6673076923076923,0.005162722,0.002973373,-0.003846154,0
madelon,3,500,300,0.6,60,1,1,0.7916568047337278,0.7173076923076923,1,1,0.8202662721893491,0.7403846153846154,1,1,0.7515754437869823,0.676923077,0.028609467455621318,-0.040081361,0.023076923076923106,-0.040384615
madelon,4,500,300,0.6,60,1,1,0.788017751,0.7288461538461538,1,1,0.8287721893491126,0.7480769230769231,1,1,0.8051923076923077,0.7346153846153847,0.040754438,0.017174556213017667,0.019230769230769273,0.005769231
madelon,5,500,300,0.6,60,1,1,0.7575221893491124,0.6942307692307692,1,1,0.8109763313609468,0.7096153846153846,1,1,0.7656508875739645,0.676923077,0.053454142011834405,0.008128698,0.015384615384615441,-0.017307692
madelon,1,500,250,0.5,50,1,1,0.7570118343195266,0.6884615384615385,1,1,0.801723373,0.7153846153846154,1,1,0.7341346153846154,0.6653846153846154,0.044711538461538414,-0.022877219,0.026923077,-0.023076923
madelon,2,500,250,0.5,50,1,1,0.7416124260355029,0.6673076923076923,1,1,0.7688979289940827,0.6903846153846154,1,1,0.7487352071005917,0.6730769230769231,0.027285502958579788,0.007122781,0.023076923076923106,0.005769231
madelon,3,500,250,0.5,50,1,1,0.7916568047337278,0.7173076923076923,1,1,0.8049260355029586,0.7384615384615385,1,1,0.7666863905325443,0.6865384615384615,0.013269230769230811,-0.024970414,0.021153846,-0.030769231
madelon,4,500,250,0.5,50,1,1,0.788017751,0.7288461538461538,1,1,0.8246523668639052,0.7480769230769231,1,1,0.7903550295857988,0.7096153846153846,0.036634615,0.002337278,0.019230769230769273,-0.019230769
madelon,5,500,250,0.5,50,1,1,0.7575221893491124,0.6942307692307692,1,1,0.8190014792899408,0.7288461538461538,1,1,0.7597559171597633,0.6692307692307692,0.06147929,0.002233728,0.034615385,-0.025
