dataset,p,k,feature_ratio,feature_pct,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
SMK-CAN-187,19993,7997,0.4,40.0,0.999464886964887,0.9994644244644245,0.9989653864653866,0.7508479532163742,0.7497953216374269,0.7626900584795322,-0.0010526315789473716,0.011842105263157899,0.9852975391498882,0.9893154362416107,0.9826308724832215,0.6837837837837838,0.6837837837837837,0.7049786628733997,2.2204460492503132e-17,0.021194879089615946
SMK-CAN-187,19993,5998,0.3,30.0,0.999464886964887,0.9990009990009991,0.998034373034373,0.7508479532163742,0.7502631578947367,0.7541812865497075,-0.0005847953216374213,0.0033333333333333214,0.9852975391498882,0.9839642058165549,0.9812975391498882,0.6837837837837838,0.7052631578947368,0.7210526315789474,0.021479374110953065,0.037268847795163595
SMK-CAN-187,19993,3999,0.2,20.0,0.999464886964887,0.9990014615014615,0.9976417101417102,0.7508479532163742,0.7597368421052632,0.7525438596491227,0.008888888888888924,0.0016959064327485064,0.9852975391498882,0.9879821029082774,0.9799552572706937,0.6837837837837838,0.6836415362731152,0.6836415362731152,-0.00014224751066853613,-0.00014224751066853613
SMK-CAN-187,19993,1999,0.1,10.0,0.999464886964887,0.9990356865356865,0.9966399341399341,0.7508479532163742,0.7464327485380117,0.7530994152046783,-0.004415204678362583,0.002251461988304082,0.9852975391498882,0.9799552572706937,0.9732706935123042,0.6837837837837838,0.6889046941678522,0.6995732574679944,0.005120910384068278,0.01578947368421051
SMK-CAN-187,19993,1000,0.05,5.0,0.999464886964887,0.9991785991785992,0.9951035076035076,0.7508479532163742,0.7503801169590643,0.7532163742690059,-0.00046783625730992815,0.0023684210526315973,0.9852975391498882,0.9853064876957495,0.963937360178971,0.6837837837837838,0.6944523470839261,0.6943100995732575,0.010668563300142275,0.010526315789473717
colon,2000,2000,1.0,100.0,1.0,1.0,1.0,0.9199999999999999,0.89625,0.9075,-0.023749999999999983,-0.0125,1.0,1.0,1.0,0.8538461538461538,0.8051282051282052,0.8051282051282052,-0.048717948717948725,-0.048717948717948725
colon,2000,1800,0.9,90.0,1.0,1.0,1.0,0.9199999999999999,0.925,0.8949999999999999,0.0050000000000000044,-0.024999999999999977,1.0,1.0,1.0,0.8538461538461538,0.8064102564102564,0.8205128205128205,-0.04743589743589745,-0.033333333333333326
colon,2000,1600,0.8,80.0,1.0,1.0,1.0,0.9199999999999999,0.9125,0.9237500000000001,-0.007499999999999995,0.003750000000000009,1.0,1.0,1.0,0.8538461538461538,0.8371794871794872,0.8538461538461538,-0.016666666666666653,0.0
colon,2000,1400,0.7,70.0,1.0,1.0,1.0,0.9199999999999999,0.9125,0.89625,-0.007499999999999995,-0.023749999999999983,1.0,1.0,1.0,0.8538461538461538,0.7897435897435898,0.8371794871794872,-0.0641025641025641,-0.016666666666666673
colon,2000,1200,0.6,60.0,1.0,1.0,1.0,0.9199999999999999,0.88375,0.92875,-0.036249999999999984,0.00874999999999999,1.0,1.0,1.0,0.8538461538461538,0.7897435897435898,0.8384615384615385,-0.0641025641025641,-0.015384615384615396
colon,2000,1000,0.5,50.0,1.0,1.0,1.0,0.9199999999999999,0.925,0.9099999999999999,0.0050000000000000044,-0.009999999999999986,1.0,1.0,1.0,0.8538461538461538,0.8217948717948719,0.8217948717948719,-0.03205128205128203,-0.03205128205128207
colon,2000,800,0.4,40.0,1.0,1.0,1.0,0.9199999999999999,0.89125,0.87375,-0.028749999999999987,-0.04624999999999999,1.0,1.0,1.0,0.8538461538461538,0.8230769230769232,0.8217948717948719,-0.03076923076923077,-0.03205128205128207
colon,2000,600,0.3,30.0,1.0,1.0,1.0,0.9199999999999999,0.89125,0.9025000000000001,-0.028749999999999987,-0.01749999999999998,1.0,1.0,1.0,0.8538461538461538,0.8230769230769232,0.8217948717948719,-0.03076923076923077,-0.03205128205128207
