dataset,fold,p,k,feature_ratio,feature_pct,baseline_train_auc,baseline_train_accuracy,baseline_auc,baseline_accuracy,stg_train_auc,stg_train_accuracy,stg_auc,stg_accuracy,lspin_train_auc,lspin_train_accuracy,lspin_auc,lspin_accuracy,stg_auc_delta,lspin_auc_delta,stg_accuracy_delta,lspin_accuracy_delta
madelon,4,500,450,0.9,90.0,0.8720072115384616,0.7600961538461538,0.7290976331360945,0.6576923076923077,0.85662074704142,0.7442307692307693,0.7200443786982247,0.6596153846153846,0.8727671967455621,0.7625,0.7133136094674557,0.6480769230769231,-0.009053254437869862,-0.015784023668638847,0.0019230769230769162,-0.009615384615384581
madelon,5,500,450,0.9,90.0,0.8918823964497044,0.7831730769230769,0.6585650887573965,0.6076923076923076,0.8672873520710058,0.7615384615384615,0.6637573964497041,0.5961538461538461,0.881350776627219,0.7716346153846154,0.669171597633136,0.6230769230769231,0.005192307692307607,0.010606508875739551,-0.011538461538461497,0.015384615384615441
madelon,1,500,400,0.8,80.0,0.8679992603550295,0.7528846153846154,0.6664792899408284,0.5980769230769231,0.8566623520710058,0.7399038461538462,0.6720118343195266,0.6211538461538462,0.8948076923076923,0.7923076923076923,0.6759467455621302,0.6019230769230769,0.005532544378698212,0.009467455621301801,0.023076923076923106,0.0038461538461538325
madelon,2,500,400,0.8,80.0,0.8638905325443786,0.7504807692307692,0.664171597633136,0.6076923076923076,0.8636140902366864,0.74375,0.6650443786982249,0.5923076923076923,0.8721643860946745,0.7629807692307692,0.6516863905325444,0.5865384615384616,0.0008727810650888124,-0.012485207100591644,-0.01538461538461533,-0.02115384615384608
madelon,3,500,400,0.8,80.0,0.8775943047337278,0.7673076923076924,0.6969970414201184,0.625,0.8558468934911244,0.7408653846153846,0.7036538461538461,0.6269230769230769,0.854165125739645,0.7456730769230769,0.6964792899408284,0.6326923076923077,0.00665680473372765,-0.0005177514792900073,0.0019230769230769162,0.007692307692307665
madelon,4,500,400,0.8,80.0,0.8720072115384616,0.7600961538461538,0.7290976331360945,0.6576923076923077,0.8766272189349112,0.7682692307692308,0.70646449704142,0.6576923076923077,0.8979927884615384,0.8048076923076923,0.7113461538461537,0.6519230769230769,-0.022633136094674544,-0.017751479289940808,0.0,-0.005769230769230749
madelon,5,500,400,0.8,80.0,0.8918823964497044,0.7831730769230769,0.6585650887573965,0.6076923076923076,0.8715273668639053,0.7668269230769231,0.6611686390532545,0.6288461538461538,0.9129733727810652,0.8216346153846154,0.6760798816568048,0.6019230769230769,0.002603550295858015,0.01751479289940827,0.02115384615384619,-0.005769230769230749
madelon,1,500,350,0.7,70.0,0.8679992603550295,0.7528846153846154,0.6664792899408284,0.5980769230769231,0.8613110207100593,0.7581730769230769,0.6816420118343195,0.6134615384615385,0.8758690828402368,0.7850961538461538,0.653224852071006,0.5961538461538461,0.015162721893491105,-0.013254437869822389,0.015384615384615441,-0.0019230769230769162
madelon,2,500,350,0.7,70.0,0.8638905325443786,0.7504807692307692,0.664171597633136,0.6076923076923076,0.8503430103550296,0.729326923076923,0.6580917159763313,0.5961538461538461,0.8544073594674556,0.7427884615384616,0.6423076923076922,0.5923076923076923,-0.006079881656804731,-0.0218639053254438,-0.011538461538461497,-0.01538461538461533
madelon,3,500,350,0.7,70.0,0.8775943047337278,0.7673076923076924,0.6969970414201184,0.625,0.8896773298816567,0.7884615384615384,0.6887426035502958,0.6288461538461538,0.8606074334319527,0.7490384615384615,0.6868491124260355,0.6192307692307693,-0.008254437869822606,-0.0101479289940829,0.0038461538461538325,-0.005769230769230749
madelon,4,500,350,0.7,70.0,0.8720072115384616,0.7600961538461538,0.7290976331360945,0.6576923076923077,0.860201553254438,0.7557692307692307,0.7086834319526628,0.6519230769230769,0.8688267381656805,0.7653846153846153,0.7481656804733728,0.6807692307692308,-0.020414201183431735,0.019068047337278293,-0.005769230769230749,0.023076923076923106
madelon,5,500,350,0.7,70.0,0.8918823964497044,0.7831730769230769,0.6585650887573965,0.6076923076923076,0.8564145710059172,0.7408653846153846,0.689068047337278,0.6057692307692307,0.8865412352071007,0.7841346153846154,0.6717011834319527,0.6076923076923076,0.0305029585798815,0.013136094674556231,-0.0019230769230769162,0.0
madelon,1,500,300,0.6,60.0,0.8679992603550295,0.7528846153846154,0.6664792899408284,0.5980769230769231,0.8612777366863906,0.7375,0.6746301775147928,0.5980769230769231,0.8836122411242604,0.7841346153846154,0.6552662721893491,0.6134615384615385,0.008150887573964427,-0.011213017751479315,0.0,0.015384615384615441
madelon,2,500,300,0.6,60.0,0.8638905325443786,0.7504807692307692,0.664171597633136,0.6076923076923076,0.8509559911242603,0.7442307692307693,0.6652218934911243,0.5788461538461539,0.8489469304733728,0.739423076923077,0.663698224852071,0.575,0.001050295857988215,-0.0004733727810650734,-0.028846153846153744,-0.03269230769230769
madelon,3,500,300,0.6,60.0,0.8775943047337278,0.7673076923076924,0.6969970414201184,0.625,0.8477718195266273,0.7403846153846154,0.6941715976331361,0.6269230769230769,0.8675351331360946,0.7634615384615384,0.6865828402366864,0.6153846153846154,-0.002825443786982351,-0.01041420118343206,0.0019230769230769162,-0.009615384615384581
madelon,4,500,300,0.6,60.0,0.8720072115384616,0.7600961538461538,0.7290976331360945,0.6576923076923077,0.837032174556213,0.725,0.7398816568047337,0.65,0.8475730399408284,0.7211538461538461,0.7203698224852071,0.6480769230769231,0.010784023668639175,-0.008727810650887458,-0.007692307692307665,-0.009615384615384581
madelon,5,500,300,0.6,60.0,0.8918823964497044,0.7831730769230769,0.6585650887573965,0.6076923076923076,0.8479576553254438,0.7360576923076924,0.6760650887573965,0.6096153846153847,0.8604595044378698,0.7663461538461539,0.6617307692307691,0.6096153846153847,0.01749999999999996,0.003165680473372623,0.0019230769230770273,0.0019230769230770273
madelon,1,500,250,0.5,50.0,0.8679992603550295,0.7528846153846154,0.6664792899408284,0.5980769230769231,0.8296135355029586,0.7091346153846154,0.6725147928994083,0.5884615384615385,0.8716346153846154,0.76875,0.6273076923076923,0.5826923076923077,0.006035502958579908,-0.039171597633136046,-0.009615384615384581,-0.01538461538461533
madelon,2,500,250,0.5,50.0,0.8638905325443786,0.7504807692307692,0.664171597633136,0.6076923076923076,0.8193426405325445,0.7105769230769231,0.6583579881656805,0.5807692307692308,0.8335650887573964,0.7221153846153846,0.661819526627219,0.5903846153846154,-0.005813609467455572,-0.0023520710059170558,-0.026923076923076827,-0.017307692307692246
madelon,3,500,250,0.5,50.0,0.8775943047337278,0.7673076923076924,0.6969970414201184,0.625,0.8343213757396449,0.7254807692307692,0.711301775147929,0.6403846153846153,0.8846505177514793,0.7817307692307692,0.672189349112426,0.6230769230769231,0.014304733727810603,-0.02480769230769242,0.01538461538461533,-0.0019230769230769162
madelon,4,500,250,0.5,50.0,0.8720072115384616,0.7600961538461538,0.7290976331360945,0.6576923076923077,0.8384513683431953,0.7274038461538461,0.7355769230769231,0.6538461538461539,0.8490005547337278,0.7302884615384615,0.71646449704142,0.6519230769230769,0.006479289940828581,-0.012633136094674535,-0.0038461538461538325,-0.005769230769230749
madelon,5,500,250,0.5,50.0,0.8918823964497044,0.7831730769230769,0.6585650887573965,0.6076923076923076,0.8435364275147929,0.7307692307692307,0.6756656804733728,0.625,0.8883080621301775,0.7870192307692307,0.6853402366863907,0.6115384615384616,0.017100591715976332,0.02677514792899416,0.017307692307692357,0.0038461538461539435
madelon,1,500,200,0.4,40.0,0.8679992603550295,0.7528846153846154,0.6664792899408284,0.5980769230769231,0.8368481878698225,0.7341346153846153,0.7018491124260355,0.6442307692307693,0.8402745931952663,0.7461538461538462,0.6328698224852071,0.5942307692307692,0.03536982248520715,-0.03360946745562132,0.04615384615384621,-0.0038461538461538325
madelon,2,500,200,0.4,40.0,0.8638905325443786,0.7504807692307692,0.664171597633136,0.6076923076923076,0.8168269230769231,0.7120192307692308,0.6688313609467456,0.6,0.8104853920118343,0.6855769230769231,0.6406065088757397,0.5942307692307692,0.004659763313609511,-0.02356508875739638,-0.007692307692307665,-0.013461538461538414
madelon,3,500,200,0.4,40.0,0.8775943047337278,0.7673076923076924,0.6969970414201184,0.625,0.8344443417159764,0.7259615384615384,0.7117307692307691,0.6384615384615384,0.8589903846153846,0.7615384615384615,0.6826183431952663,0.6192307692307693,0.014733727810650632,-0.01437869822485216,0.013461538461538414,-0.005769230769230749
madelon,4,500,200,0.4,40.0,0.8720072115384616,0.7600961538461538,0.7290976331360945,0.6576923076923077,0.7959125369822485,0.6870192307692308,0.7353846153846153,0.6538461538461539,0.8308478180473373,0.7221153846153846,0.7161242603550295,0.6596153846153846,0.006286982248520756,-0.012973372781065029,-0.0038461538461538325,0.0019230769230769162
madelon,5,500,200,0.4,40.0,0.8918823964497044,0.7831730769230769,0.6585650887573965,0.6076923076923076,0.8301423816568047,0.7110576923076923,0.684689349112426,0.6153846153846154,0.9134670857988165,0.8192307692307692,0.6475443786982249,0.6096153846153847,0.02612426035502946,-0.011020710059171601,0.007692307692307776,0.0019230769230770273
madelon,1,500,150,0.3,30.0,0.8679992603550295,0.7528846153846154,0.6664792899408284,0.5980769230769231,0.8196625369822486,0.7043269230769231,0.6876923076923078,0.625,0.8768454142011834,0.7673076923076924,0.6695562130177513,0.6211538461538462,0.021213017751479435,0.003076923076922866,0.02692307692307694,0.023076923076923106
madelon,2,500,150,0.3,30.0,0.8638905325443786,0.7504807692307692,0.664171597633136,0.6076923076923076,0.8017011834319525,0.6990384615384615,0.6641863905325444,0.5961538461538461,0.8696579142011834,0.7730769230769231,0.6125591715976332,0.5576923076923077,1.47928994083113e-05,-0.05161242603550287,-0.011538461538461497,-0.04999999999999993
madelon,3,500,150,0.3,30.0,0.8775943047337278,0.7673076923076924,0.6969970414201184,0.625,0.8297291050295859,0.7274038461538461,0.7095857988165679,0.6442307692307693,0.8376349852071006,0.7370192307692308,0.6650295857988167,0.6230769230769231,0.01258875739644949,-0.031967455621301766,0.019230769230769273,-0.0019230769230769162
madelon,4,500,150,0.3,30.0,0.8720072115384616,0.7600961538461538,0.7290976331360945,0.6576923076923077,0.8066965606508876,0.6927884615384615,0.7424704142011835,0.6538461538461539,0.809322300295858,0.6942307692307692,0.7093491124260356,0.6384615384615384,0.01337278106508899,-0.019748520710058948,-0.0038461538461538325,-0.019230769230769273
madelon,5,500,150,0.3,30.0,0.8918823964497044,0.7831730769230769,0.6585650887573965,0.6076923076923076,0.8188443047337277,0.7072115384615385,0.6720414201183432,0.6096153846153847,0.897241124260355,0.8004807692307693,0.6532248520710058,0.6173076923076923,0.013476331360946725,-0.00534023668639072,0.0019230769230770273,0.009615384615384692
madelon,1,500,100,0.2,20.0,0.8679992603550295,0.7528846153846154,0.6664792899408284,0.5980769230769231,0.8121764053254437,0.7004807692307692,0.6995266272189348,0.6403846153846153,0.9143897928994085,0.8283653846153847,0.5881804733727811,0.575,0.03304733727810638,-0.07829881656804727,0.04230769230769227,-0.023076923076923106
madelon,2,500,100,0.2,20.0,0.8638905325443786,0.7504807692307692,0.664171597633136,0.6076923076923076,0.8008857248520711,0.698076923076923,0.6834763313609467,0.6192307692307693,0.8720441937869821,0.7716346153846154,0.6221153846153846,0.5711538461538461,0.019304733727810608,-0.04205621301775142,0.011538461538461608,-0.03653846153846152
