dataset,p,k,feature_ratio,feature_pct,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
leukemia,7070,6363,0.9,90.0,1.0,1.0,1.0,0.9800000000000001,0.9879999999999999,0.984,0.007999999999999985,0.0040000000000000036,1.0,1.0,1.0,0.9733333333333334,0.9447619047619048,0.9447619047619048,-0.02857142857142856,-0.02857142857142858
leukemia,7070,5656,0.8,80.0,1.0,1.0,1.0,0.9800000000000001,0.9879999999999999,0.984,0.007999999999999985,0.0040000000000000036,1.0,1.0,1.0,0.9733333333333334,0.9447619047619048,0.959047619047619,-0.02857142857142858,-0.01428571428571428
leukemia,7070,4949,0.7,70.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.984,0.0,0.0040000000000000036,1.0,1.0,1.0,0.9733333333333334,0.9447619047619048,0.9447619047619048,-0.02857142857142856,-0.02857142857142856
leukemia,7070,4242,0.6,60.0,1.0,1.0,1.0,0.9800000000000001,0.984,0.9800000000000001,0.0040000000000000036,0.0,1.0,1.0,1.0,0.9733333333333334,0.9304761904761906,0.9447619047619048,-0.04285714285714286,-0.02857142857142856
leukemia,7070,3535,0.5,50.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.984,0.0,0.0040000000000000036,1.0,1.0,1.0,0.9733333333333334,0.9304761904761906,0.9457142857142857,-0.04285714285714286,-0.02761904761904761
leukemia,7070,2828,0.4,40.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.0,0.0,1.0,1.0,1.0,0.9733333333333334,0.9304761904761906,0.959047619047619,-0.04285714285714286,-0.01428571428571428
leukemia,7070,2121,0.3,30.0,1.0,1.0,1.0,0.9800000000000001,0.976,0.9800000000000001,-0.003999999999999981,0.0,1.0,1.0,1.0,0.9733333333333334,0.9447619047619048,0.9304761904761903,-0.02857142857142856,-0.04285714285714286
leukemia,7070,1414,0.2,20.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.96,0.0,-0.019999999999999997,1.0,1.0,1.0,0.9733333333333334,0.9180952380952382,0.9028571428571428,-0.05523809523809522,-0.07047619047619047
leukemia,7070,707,0.1,10.0,1.0,1.0,1.0,0.9800000000000001,0.9879999999999999,0.9515555555555555,0.007999999999999985,-0.02844444444444445,1.0,1.0,1.0,0.9733333333333334,0.9028571428571428,0.9161904761904763,-0.07047619047619047,-0.05714285714285714
leukemia,7070,354,0.05,5.0,1.0,1.0,1.0,0.9800000000000001,0.9671111111111111,0.9311111111111112,-0.012888888888888905,-0.04888888888888889,1.0,1.0,1.0,0.9733333333333334,0.8885714285714286,0.9314285714285713,-0.08476190476190475,-0.04190476190476191
RELATHE,4322,4322,1.0,100.0,0.9752238369042778,0.9729748714980937,0.9768394381223933,0.9310567286792113,0.9320402746150048,0.9305848508478205,0.000983545935793595,-0.000471877831390799,0.8878731134240251,0.895404221878065,0.8906767498937086,0.8387952398478713,0.8528450496871549,0.8325187093608146,0.014049809839283523,-0.006276530487056786
RELATHE,4322,3890,0.9,90.0,0.9752238369042778,0.975471082177427,0.9740033006738777,0.9310567286792113,0.928346655204235,0.9270560226348501,-0.0027100734749762267,-0.004000706044361179,0.8878731134240251,0.890674908021507,0.8827950717639457,0.8387952398478713,0.8444313581155687,0.8325039872408293,0.00563611826769721,-0.006291252607042064
RELATHE,4322,3458,0.8,80.0,0.9752238369042778,0.9757042356103283,0.9729571648961673,0.9310567286792113,0.9233943148015801,0.9261098797875011,-0.007662413877631158,-0.00494684889171011,0.8878731134240251,0.8950538056916921,0.8882262924187005,0.8387952398478713,0.8360152128573182,0.8346215188320452,-0.0027800269905533083,-0.0041737210158262926
RELATHE,4322,3025,0.7,70.0,0.9752238369042778,0.9756528766853714,0.9734536648965133,0.9310567286792113,0.9287821851912682,0.923902064273465,-0.0022745434879429816,-0.007154664405746414,0.8878731134240251,0.8841909039141319,0.8957572473833902,0.8387952398478713,0.834631333578702,0.8332057416267944,-0.0041639062691694265,-0.005589498221077171
RELATHE,4322,2593,0.6,60.0,0.9752238369042778,0.9725166156468579,0.9731747292281755,0.9310567286792113,0.9250269500313936,0.924336733098462,-0.006029778647817752,-0.006719995580749249,0.8878731134240251,0.8792846168368607,0.9020690364399068,0.8387952398478713,0.8325358851674641,0.8359980370506687,-0.006259354680407325,-0.0027972027972028137
RELATHE,4322,2161,0.5,50.0,0.9752238369042778,0.9722994865885355,0.9684649392723321,0.9310567286792113,0.9272806626212766,0.9194934384483695,-0.003776066057934635,-0.011563290230841728,0.8878731134240251,0.8796377958315361,0.8815716081539682,0.8387952398478713,0.8388148693411852,0.831095571095571,1.9629493313688684e-05,-0.007699668752300326
RELATHE,4322,1729,0.4,40.0,0.9752238369042778,0.9685126548946263,0.9685428784244706,0.9310567286792113,0.9200774313400835,0.9255571649322587,-0.010979297339127702,-0.0054995637469525075,0.8878731134240251,0.8647427288257603,0.8943565035739995,0.8387952398478713,0.8087179487179487,0.845125751441541,-0.030077291129922724,0.006330511593669463
RELATHE,4322,1297,0.3,30.0,0.9752238369042778,0.9668269172068324,0.9630280374545549,0.9310567286792113,0.9202626196489951,0.9047107760667977,-0.010794109030216137,-0.02634595261241344,0.8878731134240251,0.8584350839816979,0.8735101939951896,0.8387952398478713,0.8051993620414672,0.7988835725677831,-0.03359587780640416,-0.039911667280088325
RELATHE,4322,864,0.2,20.0,0.9752238369042778,0.9639054962959955,0.9506866843921431,0.9310567286792113,0.917937542817657,0.8896602158429154,-0.013119185861554184,-0.04139651283629588,0.8878731134240251,0.8533559678961676,0.8523099379749537,0.8387952398478713,0.8128965771071034,0.7792835234940498,-0.025898662740768,-0.059511716353821596
RELATHE,4322,432,0.1,10.0,0.9752238369042778,0.9529389892053886,0.9188384139027643,0.9310567286792113,0.9132554758512115,0.8387649737878258,-0.01780125282799987,-0.09229175489138557,0.8878731134240251,0.8230504166468411,0.7999270925586828,0.8387952398478713,0.805898662740768,0.7323199607410135,-0.032896577107103434,-0.10647527910685808
RELATHE,4322,216,0.05,5.0,0.9752238369042778,0.9292786403780313,0.8636105103988457,0.9310567286792113,0.8791565388881738,0.7842859800255784,-0.0519001897910375,-0.14677074865363288,0.8878731134240251,0.7731204845351805,0.7522750958924714,0.8387952398478713,0.7400318979266348,0.6979536253220464,-0.09876334192123666,-0.14084161452582505
